,User,no_of_tweet_counts
54,arc7ek,2
39,Kcfan51,2
48,Sadwings51,1
11,CindyMae65,1
2,Adebroutelles,1
3,AnonTechGuy912,1
4,BallybunionBog,1
5,BartjeDordt,1
6,Berlidge,1
7,Bighands20,1
8,BordeauxRc,1
9,BrianPaulStuart,1
10,Brockr1967Brock,1
12,Djosephcorr,1
22,FreeSpeechBot,1
23,Frisco7str,1
14,Earn_IT_2012,1
15,EeezeePeezee143,1
16,EmmaTurnerBN,1
17,EmoryGoodrich,1
18,EricJoh37288055,1
19,FarmerNC,1
20,FenucciMiles,1
21,FightingLA04,1
13,EGysling,1
24,GedsySmileee,1
25,Goz_1911,1
26,GradyHughes4,1
27,HaleyKHorton,1
28,Hankus12,1
29,Heleneafernande,1
30,Hushes,1
31,Iron_Nail,1
32,JackieLockingt1,1
33,Jan98390225,1
34,JayDeplorables,1
35,Jennifer_Resist,1
36,JulesPregler,1
37,KGibb123,1
38,Karenet24,1
40,LIVorLetReiv,1
41,LemonyLittle,1
42,LiberalFantasy,1
43,Madcapbill,1
44,MeedgeKnowsBest,1
45,MousseauJim,1
46,NMatte33,1
47,RealTrumpLady,1
1,2k7man88,1
49,Sheila4USA,1
51,ToyinOlanrewaj1,1
76,katjamana,1
52,_ese_dave,1
53,aoafam,1
55,artytrace,1
56,attitudeforty5,1
57,bbmom21,1
58,ben_jasperse,1
59,blanken01,1
60,bluesbuster11,1
73,joan_upchurch,1
61,cindymcmurtrey,1
63,clemire3,1
64,craigdmercer,1
65,dgcnlv,1
66,fixurface215,1
67,gulliveron21,1
68,hippadrone,1
69,hmmngbrd508,1
70,hotrocksyes,1
71,irishgilly,1
62,ckensingtn,1
0,1_8526,1
72,jazzyjean123,1
74,joecoppp,1
50,TalibKweli,1
86,nur_die_Ruhe,1
77,keith_blankens,1
78,krisschrod,1
79,kskwit,1
80,liberalbasher33,1
81,martylawson,1
82,marycie48785643,1
83,mbf6280,1
84,msnavlin,1
85,novotebuying,1
87,odogpundit,1
75,judyboisseau,1
88,okthunderkgirl,1
89,onesheep,1
90,pgerth,1
91,ressiger1111,1
92,rondbusa,1
93,scorpiohr,1
94,snowflakelady,1
95,tom_tart,1
96,tr1168,1
97,whereisjustice0,1
